Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Female,Yes,Graduate,Yes,24671,11296,656,120,1,Urban,Y
Male,No,Graduate,No,11208,10927,148,360,1,Semiurban,N
Female,Yes,Graduate,No,18371,4555,165,300,1,Urban,N
Male,Yes,Graduate,Yes,13835,9146,240,300,1,Rural,N
Female,No,Graduate,Yes,15168,8050,302,300,1,Urban,Y
Female,No,Not Graduate,Yes,4049,12757,210,360,0,Urban,N
Female,Yes,Not Graduate,No,7423,3446,305,300,1,Urban,N
Male,No,Graduate,No,16589,1045,372,480,1,Urban,N
Female,No,Graduate,Yes,22932,6893,177,360,1,Urban,N
Male,No,Graduate,No,21492,1693,67,300,1,Semiurban,Y
Female,Yes,Graduate,Yes,9158,14373,615,480,1,Urban,Y
Male,Yes,Graduate,No,12248,14565,619,240,1,Urban,Y
Female,Yes,Graduate,No,9400,3436,372,300,1,Rural,N
Male,Yes,Graduate,Yes,21554,8754,675,360,1,Urban,Y
Male,Yes,Graduate,No,11874,10677,337,180,1,Rural,Y
Female,Yes,Not Graduate,No,17151,5895,688,300,1,Semiurban,Y
Male,Yes,Graduate,Yes,21547,3637,584,240,0,Urban,Y
Female,No,Graduate,No,13680,3683,531,240,1,Semiurban,N
Male,No,Graduate,No,23611,10374,476,360,1,Urban,N
Female,Yes,Graduate,Yes,23106,10196,690,480,1,Semiurban,Y
Male,No,Graduate,No,13906,12313,207,360,0,Urban,N
Female,No,Graduate,No,14872,11844,170,360,1,Rural,N
Male,Yes,Graduate,Yes,21473,8672,350,300,1,Urban,Y
Female,Yes,Graduate,No,13686,8043,606,480,1,Rural,Y
Male,No,Not Graduate,Yes,16410,3989,128,180,0,Semiurban,N
Female,Yes,Graduate,Yes,12465,11201,258,360,1,Urban,Y
Male,No,Graduate,No,18427,13983,157,300,1,Semiurban,N
Female,Yes,Graduate,No,22379,2692,541,480,1,Urban,Y
Male,Yes,Graduate,Yes,20079,1478,633,360,1,Rural,Y
Female,No,Graduate,No,22710,7061,228,240,1,Urban,N
Male,Yes,Graduate,No,14371,5834,364,180,1,Rural,Y
Female,Yes,Graduate,Yes,18315,6082,430,360,1,Urban,Y
Male,No,Graduate,No,14929,12169,332,480,0,Semiurban,N
Female,No,Graduate,Yes,24235,14789,525,300,1,Urban,N
Male,Yes,Graduate,No,13482,12788,278,240,1,Rural,Y
Female,Yes,Graduate,No,19027,11160,415,300,1,Semiurban,Y
Male,No,Graduate,Yes,24248,5713,171,180,1,Urban,N
Female,No,Graduate,No,14239,12197,258,360,0,Rural,N
Male,Yes,Graduate,No,17909,9787,645,360,1,Semiurban,Y
Female,Yes,Graduate,Yes,16748,10643,412,480,1,Urban,Y
Male,No,Not Graduate,No,18450,4043,185,240,1,Urban,N
Female,No,Graduate,Yes,21286,14119,295,360,1,Semiurban,Y
Male,Yes,Graduate,Yes,21343,10359,620,300,1,Rural,Y
Female,Yes,Graduate,No,23908,11973,580,240,0,Urban,Y
Male,No,Graduate,Yes,17672,8418,151,480,1,Rural,N
Female,No,Graduate,No,13342,5395,287,360,1,Semiurban,N
Male,Yes,Graduate,No,22293,12712,438,300,1,Urban,Y
Female,Yes,Graduate,Yes,16250,10994,240,180,1,Rural,Y
Male,No,Graduate,No,24160,7252,410,480,0,Semiurban,N
Female,Yes,Graduate,No,18269,13603,285,360,1,Urban,Y
Male,Yes,Graduate,Yes,21637,7463,532,240,1,Rural,Y
Male,Yes,Not Graduate,Yes,12381,2705,296,360,1,Semiurban,Y
Female,Yes,Graduate,Yes,16328,13673,644,480,1,Semiurban,N
Female,Yes,Graduate,Yes,20497,12474,390,180,1,Semiurban,N
Female,Yes,Not Graduate,No,2324,4552,381,480,1,Semiurban,N
Male,Yes,Graduate,No,8326,9979,611,360,0,Rural,N
Male,Yes,Graduate,No,16679,8960,394,120,1,Urban,N
Male,No,Graduate,No,3619,2483,262,180,1,Rural,Y
Male,Yes,Graduate,Yes,21210,5755,345,480,1,Rural,N
Male,No,Graduate,No,17081,12446,471,480,1,Rural,Y
Male,No,Graduate,No,6929,13934,650,180,0,Rural,N
Female,Yes,Graduate,Yes,23634,9426,461,360,1,Rural,Y
Male,No,Graduate,No,8359,5403,71,120,1,Urban,Y
Female,Yes,Graduate,Yes,15046,12010,50,180,1,Semiurban,Y
Male,Yes,Graduate,No,11508,2374,342,120,1,Urban,N
Female,Yes,Graduate,No,11507,437,229,360,1,Semiurban,N
Male,Yes,Graduate,Yes,24115,2036,83,300,0,Semiurban,N
Male,Yes,Graduate,Yes,17694,13831,164,240,1,Urban,Y
Female,Yes,Graduate,No,14256,10255,346,360,1,Semiurban,Y
Male,No,Graduate,Yes,20524,12433,217,300,1,Urban,Y
Female,No,Graduate,Yes,13308,2039,410,480,1,Semiurban,N
